Shape_Leng,Shape_Area,ADM2_EN,ADM2_PCODE,POP_2015,POP_2015_M,POP_2015_F,POP_2015_Rur,POP_2015_Urb,POP_2016,POP_2016_M,POP_2016_F,POP_2016_Rur,POP_2016_Urb,POP_2017,POP_2017_M,POP_2017_F,POP_2017_Rur,POP_2017_Urb,POP_2018,POP_2018_M,POP_2018_F,POP_2018_Rur,POP_2018_Urb,POP_2019,POP_2019_M,POP_2019_F,POP_2019_Rur,POP_2019_Urb,Tot_Villag
2.648601634,0.106563119,Kabarole,UG4110,304000,152200,151800,249100,112000,310700,155600,155100,258100,116100,317500,159000,158500,267500,120300,324300,162400,161900,277100,124600,331100,165900,165200,328100,129000,552
1.337447834,0.072129652,Kaberamaido,UG2041,108700,53700,55000,235800,77900,113100,56000,57100,256200,84600,117700,58300,59400,278300,92000,122700,60900,61800,302200,99900,127800,63600,64200,110800,108400,975
2.092606694,0.126287447,Kagadi,UG4111,361100,176900,184200,94400,19100,374200,183500,190700,98400,19900,387800,190300,197500,102400,20800,401700,197300,204400,106600,21600,415800,204400,211400,58900,22500,717
1.786103182,0.135476471,Kakumiro,UG4112,313700,157800,155900,50800,5100,340800,171800,169000,52800,5300,370300,187000,183300,54800,5500,402100,203500,198600,56800,5700,436500,221300,215200,230800,5900,442
1.289265921,0.059913878,Kalaki,UG2042,113500,56100,57400,200900,42000,118300,58600,59700,208100,43500,123200,61200,62000,215500,45000,128200,63800,64400,223100,46600,133300,66400,66900,144100,48200,698
3.495566872,0.73537113,Kalangala,UG1006,55900,32200,23700,138300,37400,58100,33400,24700,139700,37800,60300,34600,25700,141300,38200,62500,35800,26700,142700,38600,64800,37000,27800,422000,39000,405
1.21601175,0.070681206,Kaliro,UG2043,242900,119400,123500,383100,112500,251600,123800,127800,392700,115300,260500,128300,132200,402300,118200,269700,133000,136700,412200,121000,279000,137700,141300,208900,123900,103
1.263335095,0.068013888,Kalungu,UG1007,184600,90500,94100,180100,98800,186600,91600,95000,187000,102700,188600,92700,95900,194000,106500,190500,93700,96800,201400,110500,192400,94800,97600,194100,114700,363
0.636963569,0.015865428,Kampala,UG1008,1529400,723700,805700,181600,73800,1559700,738200,821500,184700,75100,1590100,752700,837400,187900,76400,1620600,767300,853300,191100,77600,1650800,781700,869100,67400,78900,280
1.799551812,0.123286982,Kamuli,UG2044,495600,241400,254200,60100,47500,508000,248000,260000,61900,48800,520500,254700,265800,63700,50300,533200,261500,271700,65500,51700,545900,268300,277600,78400,53100,860
